YLDGAPF(-),  grid_no,  year,  stu_no,      weight(-), TSO(kgDM.ha-1), TLV(kgDM.ha-1), TST(kgDM.ha-1), TRT(kgDM.ha-1), maxLAI(m2.m-2), rootdepth(cm), TAGP(kgDM.ha-1)
     0.781,    52054,  2000,  340001,    17874495695,        5699.51,        2020.35,        3612.00,        1525.76,           5.17,         60.00,        11331.86
     0.781,    52054,  2000,  340002,    10213997540,        5950.74,        2020.35,        3625.85,        1525.76,           5.17,         80.00,        11596.95
     0.781,    52054,  2000,  340003,     7660498155,        5699.51,        2020.35,        3612.00,        1525.76,           5.17,         60.00,        11331.86
     0.781,    52054,  2000,  340822,     3616570740,        5699.51,        2020.35,        3612.00,        1525.76,           5.17,         60.00,        11331.86
     0.781,    52054,  2000,  340005,     2553499385,        5694.69,        2020.35,        3611.71,        1525.76,           5.17,         60.00,        11326.74
     0.781,    52054,  2000,  340006,     2553499385,        4687.46,        2020.35,        3534.62,        1525.76,           5.17,         40.00,        10242.43
     0.781,    52054,  2000,  340771,     1307457410,        5881.50,        2020.35,        3622.48,        1525.76,           5.17,        100.00,        11524.33
     0.781,    52054,  2000,  340821,     1205523580,        5699.51,        2020.35,        3612.00,        1525.76,           5.17,         60.00,        11331.86
     0.781,    52054,  2000,  342161,      571948240,        5993.92,        2020.35,        3627.81,        1525.76,           5.17,        100.00,        11642.08
     0.781,    52054,  2000,  340841,      542678265,        5775.49,        2020.35,        3616.63,        1525.76,           5.17,        100.00,        11412.47
     0.781,    52054,  2000,  342160,      428961180,        5993.92,        2020.35,        3627.81,        1525.76,           5.17,        100.00,        11642.08
     0.781,    52054,  2000,  342162,      428961180,        5993.92,        2020.35,        3627.81,        1525.76,           5.17,        100.00,        11642.08
     0.781,    52054,  2000,  340163,      422083095,        5950.74,        2020.35,        3625.85,        1525.76,           5.17,        120.00,        11596.95
     0.781,    52054,  2000,  340772,      373559260,        4755.14,        2020.35,        3540.34,        1525.76,           5.17,         40.00,        10315.83
     0.781,    52054,  2000,  340842,      241190340,        5934.89,        2020.35,        3625.12,        1525.76,           5.17,        100.00,        11580.37
     0.781,    52054,  2000,  340659,      126756820,        5699.51,        2020.35,        3612.00,        1525.76,           5.17,         60.00,        11331.86
     0.781,    52054,  2000,  340660,      126756820,        6135.91,        2020.35,        3633.71,        1525.76,           5.17,        100.00,        11789.97
     0.781,    52054,  2000,  340183,       93389815,        5881.50,        2020.35,        3622.48,        1525.76,           5.17,        100.00,        11524.33
     0.781,    52054,  2000,  340773,       93389815,        5993.92,        2020.35,        3627.81,        1525.76,           5.17,        100.00,        11642.08
     0.781,    52054,  2000,  340781,       33908040,        5597.09,        2020.35,        3605.33,        1525.76,           5.17,         60.00,        11222.77
     0.781,    52054,  2000,  340678,       20847840,        4687.46,        2020.35,        3534.62,        1525.76,           5.17,         40.00,        10242.43
     0.781,    52054,  2000,  340782,       11302680,        5597.09,        2020.35,        3605.33,        1525.76,           5.17,         60.00,        11222.77
     0.781,    52054,  2001,  340001,    17874495695,        2500.04,        1650.01,        2996.01,        1190.32,           4.54,         60.00,         7146.06
     0.781,    52054,  2001,  340002,    10213997540,        4226.64,        1650.01,        3227.56,        1190.32,           4.54,         80.00,         9104.22
     0.781,    52054,  2001,  340003,     7660498155,        2500.04,        1650.01,        2996.01,        1190.32,           4.54,         60.00,         7146.06
     0.781,    52054,  2001,  340822,     3616570740,        2500.04,        1650.01,        2996.01,        1190.32,           4.54,         60.00,         7146.06
     0.781,    52054,  2001,  340005,     2553499385,        2464.41,        1650.01,        2990.83,        1190.32,           4.54,         60.00,         7105.25
     0.781,    52054,  2001,  340006,     2553499385,         466.26,        1472.58,        1746.72,        1146.65,           3.93,         40.00,         3685.56
     0.781,    52054,  2001,  340771,     1307457410,        3845.59,        1650.01,        3180.56,        1190.32,           4.54,        100.00,         8676.16
