GRID_NO,LATITUDE,LONGITUDE
9024,27.32116,-11.35095
9025,27.38237,-11.10857
9026,27.44289,-10.86594
9027,27.50272,-10.62305
9028,27.56187,-10.37992
9029,27.62033,-10.13653
9030,27.67809,-9.89289
9031,27.73516,-9.64901
9032,27.79154,-9.40489
9033,27.84722,-9.16052
9034,27.90221,-8.91592
9035,27.9565,-8.67107
9036,28.01009,-8.42599
9037,28.06298,-8.18068
9038,28.11518,-7.93514
9039,28.16667,-7.68937
9040,28.21746,-7.44337
9041,28.26755,-7.19715
9042,28.31693,-6.95071
9043,28.36561,-6.70405
9044,28.41358,-6.45717
9045,28.46085,-6.21008
9046,28.50741,-5.96278
9047,28.55326,-5.71527
9048,28.5984,-5.46755
9049,28.64283,-5.21963
9050,28.68655,-4.97151
9051,28.72955,-4.72319
9052,28.77185,-4.47467
9053,28.81342,-4.22596
9054,28.85429,-3.97706
9055,28.89444,-3.72798
9056,28.93387,-3.47871
9057,28.97258,-3.22925
9058,29.01058,-2.97962
9059,29.04786,-2.72982
9060,29.08441,-2.47984
9061,29.12025,-2.22969
9062,29.15537,-1.97937
9063,29.18976,-1.72889
9064,29.22343,-1.47825
9065,29.25638,-1.22745
9066,29.2886,-0.9765
9067,29.3201,-0.72539
9068,29.35087,-0.47414
9069,29.38092,-0.22274
9070,29.41024,0.0288
9071,29.43883,0.28048
9072,29.46669,0.53229
9073,29.49382,0.78424
9074,29.52023,1.03632
9075,29.5459,1.28852
9076,29.57085,1.54084
9077,29.59506,1.79329
9078,29.61854,2.04585
9079,29.64129,2.29852
9080,29.66331,2.5513
9081,29.6846,2.80419
9082,29.70515,3.05717
9083,29.72496,3.31026
9084,29.74404,3.56344
9085,29.76239,3.81671
9086,29.78,4.07008
9087,29.79688,4.32352
9088,29.81302,4.57705
9089,29.82842,4.83065
9090,29.84309,5.08433
9091,29.85701,5.33808
9092,29.87021,5.5919
9093,29.88266,5.84578
9094,29.89438,6.09972
9095,29.90535,6.35371
9096,29.91559,6.60776
9097,29.92509,6.86186
9098,29.93385,7.116
9099,29.94187,7.37018
9100,29.94916,7.62441
9101,29.9557,7.87866
9102,29.9615,8.13295
9103,29.96656,8.38726
9104,29.97089,8.6416
9105,29.97447,8.89595
9106,29.97731,9.15033
9107,29.97942,9.40471
9108,29.98078,9.65911
9109,29.9814,9.9135
9110,29.98128,10.1679
9111,29.98042,10.4223
