"TIME","GEO","CROP_PRO","STRUCPRO","Value","Flag and Footnotes"
"2005","Finland","ha: Utilised agricultural area","Total","2 263 560",""
"2005","Finland","ha: Arable land","Total","2 233 150",""
"2005","Finland","ha: Common wheat and spelt","Total","215 080",""
"2005","Finland","ha: Durum wheat","Total","0",""
"2005","Finland","ha: Rye","Total","14 350",""
"2005","Finland","ha: Barley","Total","594 770",""
"2005","Finland","ha: Oats","Total","359 800",""
"2005","Finland","ha: Grain maize","Total","0",""
"2005","Finland","ha: Rice","Total","0",""
"2005","Finland","ha: Other cereals","Total","1 120",""
"2005","Finland","ha: Pulses - total","Total","6 900",""
"2005","Finland","ha: Potatoes","Total","28 900",""
"2005","Finland","ha: Sugar beet","Total","31 260",""
"2005","Finland","ha: Fodder roots and brassicas","Total","0",""
"2005","Finland","ha: Industrial crops - total","Total","103 080",""
"2005","Finland","ha: Tobacco","Total","0",""
"2005","Finland","ha: Hops","Total","0",""
"2005","Finland","ha: Cotton","Total","0",""
"2005","Finland","ha: Rape and turnip","Total","76 890",""
"2005","Finland","ha: Sunflower","Total","140",""
"2005","Finland","ha: Soya","Total","0",""
"2005","Finland","ha:  Other oil-seed or fibre crops","Total","1 910",""
"2005","Finland","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Finland","ha: Under glass: Flowers and ornemental plants","Total","170",""
"2005","Finland","ha: Fodder crops - total","Total","623 260",""
"2005","Finland","ha: Fodder crops - temporary grass","Total","619 050",""
"2005","Finland","ha: Total: Other green fodder: Fodder crops","Total","4 210",""
"2005","Finland","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Finland","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Itä-Suomi (NUTS 2006)","ha: Utilised agricultural area","Total","336 450",""
"2005","Itä-Suomi (NUTS 2006)","ha: Arable land","Total","330 070",""
"2005","Itä-Suomi (NUTS 2006)","ha: Common wheat and spelt","Total","5 500",""
"2005","Itä-Suomi (NUTS 2006)","ha: Durum wheat","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha: Rye","Total","1 210",""
"2005","Itä-Suomi (NUTS 2006)","ha: Barley","Total","55 850",""
"2005","Itä-Suomi (NUTS 2006)","ha: Oats","Total","48 510",""
"2005","Itä-Suomi (NUTS 2006)","ha: Grain maize","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha: Rice","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha: Other cereals","Total","240",""
"2005","Itä-Suomi (NUTS 2006)","ha: Pulses - total","Total","400",""
"2005","Itä-Suomi (NUTS 2006)","ha: Potatoes","Total","1 360",""
"2005","Itä-Suomi (NUTS 2006)","ha: Sugar beet","Total","310",""
"2005","Itä-Suomi (NUTS 2006)","ha: Fodder roots and brassicas","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha: Industrial crops - total","Total","11 480",""
"2005","Itä-Suomi (NUTS 2006)","ha: Tobacco","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha: Hops","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha: Cotton","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha: Rape and turnip","Total","990",""
"2005","Itä-Suomi (NUTS 2006)","ha: Sunflower","Total","10",""
"2005","Itä-Suomi (NUTS 2006)","ha: Soya","Total","0",""
"2005","Itä-Suomi (NUTS 2006)","ha:  Other oil-seed or fibre crops","Total","60",""
