YLDGAPF(-),  grid_no,  year,  stu_no,      weight(-), TSO(kgDM.ha-1), TLV(kgDM.ha-1), TST(kgDM.ha-1), TRT(kgDM.ha-1), maxLAI(m2.m-2), rootdepth(cm), TAGP(kgDM.ha-1)
     1.000,    52054,  2000,  340001,    17874495695,        7748.37,        2654.18,        4855.23,        1984.32,           6.12,         60.00,        15257.78
     1.000,    52054,  2000,  340002,    10213997540,        8157.05,        2654.18,        4878.03,        1984.32,           6.12,         80.00,        15689.26
     1.000,    52054,  2000,  340003,     7660498155,        7748.37,        2654.18,        4855.23,        1984.32,           6.12,         60.00,        15257.78
     1.000,    52054,  2000,  340822,     3616570740,        7748.37,        2654.18,        4855.23,        1984.32,           6.12,         60.00,        15257.78
     1.000,    52054,  2000,  340005,     2553499385,        7738.99,        2654.18,        4854.64,        1984.32,           6.12,         60.00,        15247.81
     1.000,    52054,  2000,  340006,     2553499385,        6281.56,        2654.18,        4741.25,        1984.32,           6.12,         40.00,        13676.99
     1.000,    52054,  2000,  340771,     1307457410,        8044.26,        2654.18,        4872.53,        1984.32,           6.12,        100.00,        15570.97
     1.000,    52054,  2000,  340821,     1205523580,        7748.37,        2654.18,        4855.23,        1984.32,           6.12,         60.00,        15257.78
     1.000,    52054,  2000,  342161,      571948240,        8233.90,        2654.18,        4881.72,        1984.32,           6.12,        100.00,        15769.81
     1.000,    52054,  2000,  340841,      542678265,        7873.14,        2654.18,        4862.96,        1984.32,           6.12,        100.00,        15390.28
     1.000,    52054,  2000,  342160,      428961180,        8233.90,        2654.18,        4881.72,        1984.32,           6.12,        100.00,        15769.81
     1.000,    52054,  2000,  342162,      428961180,        8233.90,        2654.18,        4881.72,        1984.32,           6.12,        100.00,        15769.81
     1.000,    52054,  2000,  340163,      422083095,        8157.05,        2654.18,        4878.03,        1984.32,           6.12,        120.00,        15689.26
     1.000,    52054,  2000,  340772,      373559260,        6364.24,        2654.18,        4748.76,        1984.32,           6.12,         40.00,        13767.18
     1.000,    52054,  2000,  340842,      241190340,        8129.51,        2654.18,        4876.70,        1984.32,           6.12,        100.00,        15660.39
     1.000,    52054,  2000,  340659,      126756820,        7748.37,        2654.18,        4855.23,        1984.32,           6.12,         60.00,        15257.78
     1.000,    52054,  2000,  340660,      126756820,        8491.25,        2654.18,        4892.58,        1984.32,           6.12,        100.00,        16038.01
     1.000,    52054,  2000,  340183,       93389815,        8044.26,        2654.18,        4872.53,        1984.32,           6.12,        100.00,        15570.97
     1.000,    52054,  2000,  340773,       93389815,        8233.90,        2654.18,        4881.72,        1984.32,           6.12,        100.00,        15769.81
     1.000,    52054,  2000,  340781,       33908040,        7584.48,        2654.18,        4844.28,        1984.32,           6.12,         60.00,        15082.95
     1.000,    52054,  2000,  340678,       20847840,        6281.56,        2654.18,        4741.25,        1984.32,           6.12,         40.00,        13676.99
     1.000,    52054,  2000,  340782,       11302680,        7584.48,        2654.18,        4844.28,        1984.32,           6.12,         60.00,        15082.95
     1.000,    52054,  2001,  340001,    17874495695,        2706.12,        2361.49,        4153.70,        1695.77,           6.09,         60.00,         9221.31
     1.000,    52054,  2001,  340002,    10213997540,        5065.56,        2361.49,        4491.96,        1695.77,           6.09,         80.00,        11919.00
     1.000,    52054,  2001,  340003,     7660498155,        2706.12,        2361.49,        4153.70,        1695.77,           6.09,         60.00,         9221.31
     1.000,    52054,  2001,  340822,     3616570740,        2706.12,        2361.49,        4153.70,        1695.77,           6.09,         60.00,         9221.31
     1.000,    52054,  2001,  340005,     2553499385,        2658.46,        2361.49,        4146.31,        1695.77,           6.09,         60.00,         9166.26
     1.000,    52054,  2001,  340006,     2553499385,         766.05,        2003.49,        2154.52,        1593.42,           4.96,         40.00,         4924.06
     1.000,    52054,  2001,  340771,     1307457410,        4519.03,        2361.49,        4417.82,        1695.77,           6.09,        100.00,        11298.34
     1.000,    52054,  2001,  340821,     1205523580,        2706.12,        2361.49,        4153.70,        1695.77,           6.09,         60.00,         9221.31
     1.000,    52054,  2001,  342161,      571948240,        5456.05,        2361.49,        4542.30,        1695.77,           6.09,        100.00,        12359.83
     1.000,    52054,  2001,  340841,      542678265,        3501.27,        2361.49,        4272.85,        1695.77,           6.09,        100.00,        10135.61
     1.000,    52054,  2001,  342160,      428961180,        5456.05,        2361.49,        4542.30,        1695.77,           6.09,        100.00,        12359.83
     1.000,    52054,  2001,  342162,      428961180,        5456.05,        2361.49,        4542.30,        1695.77,           6.09,        100.00,        12359.83
     1.000,    52054,  2001,  340163,      422083095,        5065.56,        2361.49,        4491.96,        1695.77,           6.09,        120.00,        11919.00
     1.000,    52054,  2001,  340772,      373559260,         768.51,        2040.54,        2274.95,        1608.11,           5.05,         40.00,         5084.01
     1.000,    52054,  2001,  340842,      241190340,        4934.09,        2361.49,        4474.77,        1695.77,           6.09,        100.00,        11770.35
     1.000,    52054,  2001,  340659,      126756820,        2706.12,        2361.49,        4153.70,        1695.77,           6.09,         60.00,         9221.31
     1.000,    52054,  2001,  340660,      126756820,        6865.04,        2361.49,        4705.71,        1695.77,           6.09,        100.00,        13932.24
     1.000,    52054,  2001,  340183,       93389815,        4519.03,        2361.49,        4417.82,        1695.77,           6.09,        100.00,        11298.34
     1.000,    52054,  2001,  340773,       93389815,        5456.05,        2361.49,        4542.30,        1695.77,           6.09,        100.00,        12359.83
     1.000,    52054,  2001,  340781,       33908040,        1923.84,        2360.60,        4022.91,        1695.77,           6.08,         60.00,         8307.34
     1.000,    52054,  2001,  340678,       20847840,         766.05,        2003.49,        2154.52,        1593.42,           4.96,         40.00,         4924.06
     1.000,    52054,  2001,  340782,       11302680,        1923.84,        2360.60,        4022.91,        1695.77,           6.08,         60.00,         8307.34
     1.000,    52054,  2002,  340001,    17874495695,        4236.68,        2504.27,        4333.85,        1825.01,           6.30,         60.00,        11074.81
     1.000,    52054,  2002,  340002,    10213997540,        5913.65,        2504.27,        4526.21,        1825.01,           6.30,         80.00,        12944.13
     1.000,    52054,  2002,  340003,     7660498155,        4236.68,        2504.27,        4333.85,        1825.01,           6.30,         60.00,        11074.81
     1.000,    52054,  2002,  340822,     3616570740,        4236.68,        2504.27,        4333.85,        1825.01,           6.30,         60.00,        11074.81
