YLDGAPF(-),  grid_no,  year,  stu_no,      weight(-), TSO(kgDM.ha-1), TLV(kgDM.ha-1), TST(kgDM.ha-1), TRT(kgDM.ha-1), maxLAI(m2.m-2), rootdepth(cm), TAGP(kgDM.ha-1)
     0.750,    52054,  2000,  340001,    17874495695,        5403.12,        1926.10,        3431.19,        1457.02,           5.01,         60.00,        10760.41
     0.750,    52054,  2000,  340002,    10213997540,        5633.44,        1926.10,        3443.86,        1457.02,           5.01,         80.00,        11003.40
     0.750,    52054,  2000,  340003,     7660498155,        5403.12,        1926.10,        3431.19,        1457.02,           5.01,         60.00,        10760.41
     0.750,    52054,  2000,  340822,     3616570740,        5403.12,        1926.10,        3431.19,        1457.02,           5.01,         60.00,        10760.41
     0.750,    52054,  2000,  340005,     2553499385,        5398.62,        1926.10,        3430.92,        1457.02,           5.01,         60.00,        10755.64
     0.750,    52054,  2000,  340006,     2553499385,        4457.94,        1926.10,        3359.10,        1457.02,           5.01,         40.00,         9743.14
     0.750,    52054,  2000,  340771,     1307457410,        5571.08,        1926.10,        3440.85,        1457.02,           5.01,        100.00,        10938.03
     0.750,    52054,  2000,  340821,     1205523580,        5403.12,        1926.10,        3431.19,        1457.02,           5.01,         60.00,        10760.41
     0.750,    52054,  2000,  342161,      571948240,        5671.70,        1926.10,        3445.57,        1457.02,           5.01,        100.00,        11043.38
     0.750,    52054,  2000,  340841,      542678265,        5474.04,        1926.10,        3435.51,        1457.02,           5.01,        100.00,        10835.64
     0.750,    52054,  2000,  342160,      428961180,        5671.70,        1926.10,        3445.57,        1457.02,           5.01,        100.00,        11043.38
     0.750,    52054,  2000,  342162,      428961180,        5671.70,        1926.10,        3445.57,        1457.02,           5.01,        100.00,        11043.38
     0.750,    52054,  2000,  340163,      422083095,        5633.44,        1926.10,        3443.86,        1457.02,           5.01,        120.00,        11003.40
     0.750,    52054,  2000,  340772,      373559260,        4525.01,        1926.10,        3364.74,        1457.02,           5.01,         40.00,         9815.86
     0.750,    52054,  2000,  340842,      241190340,        5618.77,        1926.10,        3443.19,        1457.02,           5.01,        100.00,        10988.05
     0.750,    52054,  2000,  340659,      126756820,        5403.12,        1926.10,        3431.19,        1457.02,           5.01,         60.00,        10760.41
     0.750,    52054,  2000,  340660,      126756820,        5798.13,        1926.10,        3450.80,        1457.02,           5.01,        100.00,        11175.03
     0.750,    52054,  2000,  340183,       93389815,        5571.08,        1926.10,        3440.85,        1457.02,           5.01,        100.00,        10938.03
     0.750,    52054,  2000,  340773,       93389815,        5671.70,        1926.10,        3445.57,        1457.02,           5.01,        100.00,        11043.38
     0.750,    52054,  2000,  340781,       33908040,        5311.12,        1926.10,        3425.24,        1457.02,           5.01,         60.00,        10662.45
     0.750,    52054,  2000,  340678,       20847840,        4457.94,        1926.10,        3359.10,        1457.02,           5.01,         40.00,         9743.14
     0.750,    52054,  2000,  340782,       11302680,        5311.12,        1926.10,        3425.24,        1457.02,           5.01,         60.00,        10662.45
     0.750,    52054,  2001,  340001,    17874495695,        2513.22,        1528.79,        2806.19,        1104.87,           4.23,         60.00,         6848.20
     0.750,    52054,  2001,  340002,    10213997540,        4098.91,        1528.79,        3013.90,        1104.87,           4.23,         80.00,         8641.61
     0.750,    52054,  2001,  340003,     7660498155,        2513.22,        1528.79,        2806.19,        1104.87,           4.23,         60.00,         6848.20
     0.750,    52054,  2001,  340822,     3616570740,        2513.22,        1528.79,        2806.19,        1104.87,           4.23,         60.00,         6848.20
     0.750,    52054,  2001,  340005,     2553499385,        2479.01,        1528.79,        2801.26,        1104.87,           4.23,         60.00,         6809.07
     0.750,    52054,  2001,  340006,     2553499385,         440.31,        1382.65,        1696.83,        1070.37,           3.70,         40.00,         3519.79
     0.750,    52054,  2001,  340771,     1307457410,        3773.08,        1528.79,        2975.08,        1104.87,           4.23,        100.00,         8276.96
     0.750,    52054,  2001,  340821,     1205523580,        2513.22,        1528.79,        2806.19,        1104.87,           4.23,         60.00,         6848.20
     0.750,    52054,  2001,  342161,      571948240,        4308.74,        1528.79,        3037.02,        1104.87,           4.23,        100.00,         8874.55
     0.750,    52054,  2001,  340841,      542678265,        3076.89,        1528.79,        2885.21,        1104.87,           4.23,        100.00,         7490.89
     0.750,    52054,  2001,  342160,      428961180,        4308.74,        1528.79,        3037.02,        1104.87,           4.23,        100.00,         8874.55
     0.750,    52054,  2001,  342162,      428961180,        4308.74,        1528.79,        3037.02,        1104.87,           4.23,        100.00,         8874.55
     0.750,    52054,  2001,  340163,      422083095,        4098.91,        1528.79,        3013.90,        1104.87,           4.23,        120.00,         8641.61
     0.750,    52054,  2001,  340772,      373559260,         455.86,        1402.20,        1785.14,        1076.37,           3.75,         40.00,         3643.20
     0.750,    52054,  2001,  340842,      241190340,        4025.07,        1528.79,        3005.48,        1104.87,           4.23,        100.00,         8559.34
     0.750,    52054,  2001,  340659,      126756820,        2513.22,        1528.79,        2806.19,        1104.87,           4.23,         60.00,         6848.20
     0.750,    52054,  2001,  340660,      126756820,        5008.84,        1528.79,        3111.56,        1104.87,           4.23,        100.00,         9649.19
     0.750,    52054,  2001,  340183,       93389815,        3773.08,        1528.79,        2975.08,        1104.87,           4.23,        100.00,         8276.96
     0.750,    52054,  2001,  340773,       93389815,        4308.74,        1528.79,        3037.02,        1104.87,           4.23,        100.00,         8874.55
     0.750,    52054,  2001,  340781,       33908040,        1959.98,        1528.79,        2724.92,        1104.87,           4.23,         60.00,         6213.70
